ASIN	Status
B009R9Q5PE	Good	
B009R9RS9G	Good	
B009RT7Y90	Good	
B009RT809S	Good	
B009RT817E	Good	
B009RT81YW	Good	
B009RT82Z0	Good	
B009RT838G	Good	
B009RT84FS	Good	
B009RT86II	Good	
B009RT87LY	Good	
B009RT88KO	Good	
B009RT89NK	Good	
B009RT8AKM	Good	
B009RT8DYA	Good	
B009RT8EM6	Good	
B009RT8GH4	Good	
B009RT8IMM	Good	
B009RT8NYA	Good	
B009RT8Q56	Good	
B009RT8RC8	Good	
B009RT8U34	Good	
B009RT8V3S	Good	
B009RT8WPK	Good	
B009RT8WUA	Good	
B009RT8XKO	Good	
B009RT8YDA	Good	
B009RT8YJO	Good	
B009RT8Z8E	Good	
B009RT8ZJS	Good	
B009RT8ZY8	Good	
B009RT91FU	Good	
B009RT924K	Good	
B009RT92AE	Good	
B009RT92RC	Good	
B009RT93SA	Good	
B009RT94SY	Good	
B009RT95D8	Good	
B009RT95NI	Good	
B009RT96RI	Good	
B009RT97MW	Good	
B009RT98BW	Good	
B009RT98C6	Good	
B009RT9948	Good	
B009RT99AC	Good	
